OBJECTID_1,Join_Count,TARGET_FID,OBJECTID,LINE_ID,TYPE,CALC_LENGT,DIAMETER,DRAINAGE_A,FLOW_RATE,LENGTH,WIDTH,HEIGHT,SLOPE,ROUGHNESS,VELOCITY,UPSTREAMNO,DOWNSTREAM,UPSTREAM_1,DOWNSTRE_1,FILENUM,INSTALL_DA,LIFE_CYCLE,OWNER,DATA_SOURC,CREATED_BY,LAST_EDITE,LAST_EDI_1,ENABLED,TYPE_USE,SHAPESTLen,ORIG_FID,POINT_X,POINT_Y,RASTERVALU,OBJECTID_12,NODE_ID,TYPE_1,DRAINAGE_A_1,FLOW_RATE_1,POINT_X_1,POINT_Y_1,CATCHMENT_,TOP_ELEV,INVELEV1,INVELEV2,INVELEV3,INVELEV4,NET_ROLE,HIST_STRU_,FILENUM_1,INSTALL_DA_1,LIFE_CYCLE_1,OWNER_1,DATA_SOURC_1,CREATED_BY_1,LAST_EDITE_1,LAST_EDI_12,DA_SRC_STR,ENABLED_1,ANCILLARYR,OUTFALL,SWID,TYPE_USE_1,RASTERVALU_1
11,1,11,3014,16129,Reinforced Concrete Pipe,78.85154239,18, , ,78.852, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,TRUE, ,78.85154239,6,-157.7526839,21.29301646,234.1473083,25419,20493,Man Hole, , ,-157.7526839,21.29301646,4.1, , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,TRUE,None,HWES 14,HWES 14-20493, ,234.1472778
12,1,12,3014,16129,Reinforced Concrete Pipe,78.85154239,18, , ,78.852, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,TRUE, ,78.85154239,6,-157.7529008,21.29309268,216.0626984,32776,20491,Man Hole, , ,-157.7529008,21.29309268,5, , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,TRUE,None,HWES 14,HWES 14-20491, ,216.0626526
13,1,13,3015,18240,Reinforced Concrete Pipe,151.5458974,18, , ,140, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,TRUE, ,151.5458974,7,-157.7578975,21.27639338,3.071564,41030,22398,Catch Basin, , ,-157.7578975,21.27639338, , , , , , , ,HMB 32-1-5,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,TRUE,None,HMB 32,HMB 32-22398, ,3.0715616
14,1,15,3015,18240,Reinforced Concrete Pipe,151.5458974,18, , ,140, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,TRUE, ,151.5458974,7,-157.7577498,21.27600004,1.3035989,52082,22403,Man Hole, , ,-157.7577498,21.27600004, , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,TRUE,None,HMB 32,HMB 32-22403, ,1.3035971
15,1,16,3084,18530,Reinforced Concrete Pipe,26.03966662,18, , ,26.04, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,TRUE, ,26.03966662,8,-157.7524135,21.28568723,33.1007347,24472,20687,Man Hole, , ,-157.7524135,21.28568723,4, , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,TRUE,None,HWES 36,HWES 36-20687, ,33.1007309
16,1,17,3084,18530,Reinforced Concrete Pipe,26.03966662,18, , ,26.04, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,TRUE, ,26.03966662,8,-157.7524898,21.2856913,31.7177601,23544,20686,Catch Basin, , ,-157.7524898,21.2856913,4, , , , , , ,HWES 36-6-1,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,TRUE,None,HWES 36,HWES 36-20686, ,31.7177601
17,1,18,3085,18534,Reinforced Concrete Pipe,75.36737945,18, , ,75.368, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,TRUE, ,75.36737945,9,-157.7573801,21.28581246,61.5422554,51140,20684,Man Hole, , ,-157.7573801,21.28581246,9, , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,TRUE,None,HWES 29,HWES 29-20684, ,61.5422478
18,1,19,3085,18534,Reinforced Concrete Pipe,75.36737945,18, , ,75.368, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,TRUE, ,75.36737945,9,-157.757459,21.28561861,62.585743,2638,20689,Catch Basin, , ,-157.757459,21.28561861,4.3, , , , , , ,HWES 29-5,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,TRUE,None,HWES 29,HWES 29-20689, ,62.5857353
19,1,20,3086,18535,Reinforced Concrete Pipe,128.1562781,18, , ,141.626, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan,Edited by FILENUM 18154,TRUE, ,128.1562781,10,-157.7546677,21.28551416,36.1767693,39236,20691,Catch Basin, , ,-157.7546677,21.28551416,4.3, , , , , , ,HWES 32-1,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,TRUE,None,HWES 32,HWES 32-20691, ,36.1767693
20,1,21,3086,18535,Reinforced Concrete Pipe,128.1562781,18, , ,141.626, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan,Edited by FILENUM 18154,TRUE, ,128.1562781,10,-157.754321,21.28565145,31.8865852,24473,20688,Inlet/Outlet, , ,-157.754321,21.28565145, , , , , , , ,HWES 32,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan,End of RCP; edited by FILENUM 18154, ,TRUE,None,HWES 32,HWES 32-20688, ,31.8865757
21,1,22,3087,18537,Reinforced Concrete Pipe,136.970893,24, , ,136.971, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,TRUE, ,136.970893,11,-157.7524135,21.28568723,33.1007347,24472,20687,Man Hole, , ,-157.7524135,21.28568723,4, , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,TRUE,None,HWES 36,HWES 36-20687, ,33.1007309
22,1,23,3087,18537,Reinforced Concrete Pipe,136.970893,24, , ,136.971, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,TRUE, ,136.970893,11,-157.7522848,21.28532996,27.4678955,41073,20692,Man Hole, , ,-157.7522848,21.28532996,3.5, , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,TRUE,None,HWES 36,HWES 36-20692, ,27.4679012
23,1,24,3088,18547,Reinforced Concrete Pipe,208.2004501,24, , ,208.201, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,TRUE, ,208.2004501,12,-157.7645619,21.28727012,697.0488892,56640,20746,Catch Basin, , ,-157.7645619,21.28727012, , , , , , , ,HMB 35-33-8,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,TRUE,None,HMB 35,HMB 35-20746, ,697.0488892
24,1,25,3088,18547,Reinforced Concrete Pipe,208.2004501,24, , ,208.201, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,TRUE, ,208.2004501,12,-157.7640642,21.28693707,690.3546143,32786,20751,Man Hole, , ,-157.7640642,21.28693707, , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,TRUE,None,HMB 35,HMB 35-20751, ,690.3546753
25,1,26,3089,18549,Reinforced Concrete Pipe,46.57659959,18, , ,46.576, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,TRUE, ,46.57659959,13,-157.7634224,21.28690622,663.6933594,58483,20753,Man Hole, , ,-157.7634224,21.28690622, , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,TRUE,None,HMB 35,HMB 35-20753, ,663.6933594
26,1,27,3089,18549,Reinforced Concrete Pipe,46.57659959,18, , ,46.576, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,TRUE, ,46.57659959,13,-157.7634637,21.28702846,667.6033325,45641,20750,Catch Basin, , ,-157.7634637,21.28702846, , , , , , , ,HMB 35-33-19,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,TRUE,None,HMB 35,HMB 35-20750, ,667.6033325
27,1,28,3090,18550,Reinforced Concrete Pipe,98.25951449,24, , ,98.26, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,TRUE, ,98.25951449,14,-157.7608524,21.28711017,604.6266479,35589,20749,Man Hole, , ,-157.7608524,21.28711017, , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,TRUE,None,HMB 35,HMB 35-20749, ,604.626709
28,1,29,3090,18550,Reinforced Concrete Pipe,98.25951449,24, , ,98.26, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,TRUE, ,98.25951449,14,-157.7610238,21.28689257,560.65802,2650,20754,Man Hole, , ,-157.7610238,21.28689257, , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,TRUE,None,HMB 35,HMB 35-20754, ,560.6580811
29,1,30,3104,18602,Reinforced Concrete Pipe,118.634334,42, , ,118.635, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,TRUE, ,118.634334,15,-157.7532505,21.28243667,13.4279718,2205,22270,Catch Basin, , ,-157.7532505,21.28243667,9.3, , , , , , ,HWES 39-1,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,TRUE,None,HWES 39,HWES 39-22270, ,13.4279785
30,1,32,3104,18602,Reinforced Concrete Pipe,118.634334,42, , ,118.635, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,TRUE, ,118.634334,15,-157.7529312,21.28256747,9.2979107,55705,22268,Inlet/Outlet, , ,-157.7529312,21.28256747, , , , , , , ,HWES 39,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan,End of RCP; edited by FILENUM 18154, ,TRUE,None,HWES 39,HWES 39-22268, ,9.2979136
31,1,33,3105,18604,Reinforced Concrete Pipe,133.2446164,18, , ,133.246, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,TRUE, ,133.2446164,16,-157.7522931,21.28256247,10.2442341,25353,22269,Catch Basin, , ,-157.7522931,21.28256247, , , , , , , ,HWES 40-1,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,TRUE,None,HWES 40,HWES 40-22269, ,10.2442293
32,1,35,3105,18604,Reinforced Concrete Pipe,133.2446164,18, , ,133.246, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,TRUE, ,133.2446164,16,-157.7526521,21.28241634,8.1447067,48342,22271,Inlet/Outlet, , ,-157.7526521,21.28241634, , , , , , , ,HWES 40,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan,End of RCP; edited by FILENUM 18154, ,TRUE,None,HWES 40,HWES 40-22271, ,8.1447077
33,1,36,3124,18670,Reinforced Concrete Pipe,125.9840214,18, , ,127, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,TRUE, ,125.9840214,17,-157.7638799,21.29176584,860.9306641,46621,25942,Man Hole, , ,-157.7638799,21.29176584,4, , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,TRUE,None,HMB 35,HMB 35-25942, ,860.9306641
34,1,37,3124,18670,Reinforced Concrete Pipe,125.9840214,18, , ,127, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,TRUE, ,125.9840214,17,-157.7635113,21.29173509,854.5317993,57628,25943,Catch Basin, , ,-157.7635113,21.29173509,6.6, , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,TRUE,None,HMB 35,HMB 35-25943, ,854.5317993
35,1,38,3125,18675,Reinforced Concrete Pipe,37.28968105,18, , ,30, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,TRUE, ,37.28968105,18,-157.7619278,21.29070929,772.8182373,40222,25935,Inlet/Outlet, , ,-157.7619278,21.29070928, , , , , , , ,HMB 35-44-7,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,TRUE,None,HMB 35,HMB 35-25935, ,772.8182373
36,1,39,3125,18675,Reinforced Concrete Pipe,37.28968105,18, , ,30, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,TRUE, ,37.28968105,18,-157.7620292,21.29067056,753.9577637,3225,25934,Man Hole, , ,-157.7620292,21.29067056, , , , , , , ,HMB 35-44-4,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,TRUE,None,HMB 35,HMB 35-25934, ,753.9577026
37,1,40,3163,18798,Reinforced Concrete Pipe,106.1059014,18, , ,100, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,TRUE, ,106.1059014,19,-157.7604324,21.28593847,502.1307983,42912,20782,Man Hole, , ,-157.7604324,21.28593847, , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,TRUE,None,HMB 35,HMB 35-20782, ,502.1308289
38,1,41,3163,18798,Reinforced Concrete Pipe,106.1059014,18, , ,100, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,TRUE, ,106.1059014,19,-157.7605184,21.28565771,471.8116455,44719,20788,Man Hole, , ,-157.7605184,21.28565771, , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,TRUE,None,HMB 35,HMB 35-20788, ,471.811676
39,1,42,3164,18799,Reinforced Concrete Pipe,33.29267788,18, , ,40, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,TRUE, ,33.29267788,20,-157.7605184,21.28565771,471.8116455,44719,20788,Man Hole, , ,-157.7605184,21.28565771, , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,TRUE,None,HMB 35,HMB 35-20788, ,471.811676
40,1,43,3164,18799,Reinforced Concrete Pipe,33.29267788,18, , ,40, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,TRUE, ,33.29267788,20,-157.7605461,21.28556981,462.5736389,14269,20789,Man Hole, , ,-157.7605461,21.28556981, , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,TRUE,None,HMB 35,HMB 35-20789, ,462.5736389
41,1,44,3175,18846,Reinforced Concrete Pipe,223.9933773,18, , ,220, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,TRUE, ,223.9933773,21,-157.7644313,21.28928496,802.4630127,2645,20723,Man Hole, , ,-157.7644313,21.28928496, , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,TRUE,None,HMB 35,HMB 35-20723, ,802.4629517
42,1,45,3175,18846,Reinforced Concrete Pipe,223.9933773,18, , ,220, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,TRUE, ,223.9933773,21,-157.7637775,21.28921594,789.6818848,2646,20724,Man Hole, , ,-157.7637775,21.28921594, , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,TRUE,None,HMB 35,HMB 35-20724, ,789.6818848
43,1,46,3176,18848,Reinforced Concrete Pipe,16.43556949,18, , ,15, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,TRUE, ,16.43556949,22,-157.7637147,21.28919159,784.7085571,15190,20725,Catch Basin, , ,-157.7637147,21.28919159, , , , , , , ,HMB 35-38-6,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,TRUE,None,HMB 35,HMB 35-20725, ,784.7086182
44,1,47,3176,18848,Reinforced Concrete Pipe,16.43556949,18, , ,15, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,TRUE, ,16.43556949,22,-157.7636777,21.28916257,781.6346436,45639,20726,Man Hole, , ,-157.7636777,21.28916257, , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,TRUE,None,HMB 35,HMB 35-20726, ,781.6346436
45,1,48,3177,18849,Reinforced Concrete Pipe,50.77034058,18, , ,70, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,TRUE, ,50.77034058,23,-157.7627804,21.28911861,678.447876,47476,20728,Man Hole, , ,-157.7627804,21.28911861,7.2, , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,TRUE,None,HMB 35,HMB 35-20728, ,678.447876
46,1,49,3177,18849,Reinforced Concrete Pipe,50.77034058,18, , ,70, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,TRUE, ,50.77034058,23,-157.7626324,21.28913582,657.939209,51141,20727,Man Hole, , ,-157.7626324,21.28913581,4.6, , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,TRUE,None,HMB 35,HMB 35-20727, ,657.939209
