OBJECTID_1,Join_Count,TARGET_FID,OBJECTID,TYPE,DIAMETER,DRAINAGE_A,FLOW_RATE,WIDTH,HEIGHT,SLOPE,ROUGHNESS,FILENUM,INSTALL_DA,LIFE_CYCLE,OWNER,DATA_SOURC,CREATED_BY,LAST_EDITE,LAST_EDI_1,ENABLED,TYPE_USE,ORIG_FID,POINT_X,POINT_Y,RASTERVALU,OBJECTID_12,NODE_ID,TYPE_1,DRAINAGE_A_1,FLOW_RATE_1,POINT_X_1,POINT_Y_1,CATCHMENT_,INSTALL_DA_1,LIFE_CYCLE_1,OWNER_1,DATA_SOURC_1,CREATED_BY_1,LAST_EDITE_1,LAST_EDI_12,DA_SRC_STR,ENABLED_1,ANCILLARYR,OUTFALL,SWID,TYPE_USE_1
11,0,11,3203,Reinforced Concrete Pipe,30, , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,28,-157.755392351475820,21.283812023106407,38.4521141,,,,,,,,,,,,,,,,,,,,,
12,1,12,3203,Reinforced Concrete Pipe,30, , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,28,-157.755321557743656,21.283772605821127,37.1531143,30880,22235,Man Hole, , ,-157.755335964882846,21.283776029540206,5.9, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HWES 35,HWES 35-22235, 
13,1,13,3204,Reinforced Concrete Pipe,24, , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,29,-157.749385729168040,21.284077800650039,173.8473206,18889,22223,Man Hole, , ,-157.749400135407882,21.284081224369061,3.700000, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HWES 38,HWES 38-22223, 
14,0,14,3204,Reinforced Concrete Pipe,24, , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,29,-157.749431259145268,21.283858047710794,157.7351074,,,,,,,,,,,,,,,,,,,,,
15,1,15,3204,Reinforced Concrete Pipe,24, , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,29,-157.749456075937132,21.283728871790061,148.4973450,31846,22237,Man Hole, , ,-157.749470483076294,21.283732295509083,6.5, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HWES 38,HWES 38-22237, 
16,1,16,3254,Reinforced Concrete Pipe,30, , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,39,-157.749837338122632,21.283627674677518,122.0330887,57492,22241,Man Hole, , ,-157.749851745261793,21.283631098396540,5.200000, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HWES 38,HWES 38-22241, 
17,0,17,3254,Reinforced Concrete Pipe,30, , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,39,-157.750112436239903,21.283563459486118,104.0448685,,,,,,,,,,,,,,,,,,,,,
18,0,18,3254,Reinforced Concrete Pipe,30, , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,39,-157.750419490866790,21.283493934697390,84.6364594,,,,,,,,,,,,,,,,,,,,,
19,1,19,3254,Reinforced Concrete Pipe,30, , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,39,-157.750496621222055,21.283476005813043,79.8307571,46468,22248,Man Hole, , ,-157.750511027461926,21.283479429532122,4.100000, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HWES 38,HWES 38-22248, 
20,1,20,4175,Ditch, , , ,48, , , ,Pre-SWQDC, , ,State of Hawaii,Pre-SWQDC,Pre-SWQDC,jnolan,TYPE=State DOT Concrete Ditch; OWNERSHIP taken from Streets; edited by FILENUM 18152,True, ,64,-157.761061267563406,21.276636112166898,25.9386578,1956,22630,Inlet/Outlet, , ,-157.761075673803276,21.276639536785240, , ,"Constructed, existing ROW",State of Hawaii,Pre-SWQDC,Pre-SWQDC,jnolan,Connection between State DOT Concrete Ditches and State DOT RCPs; OWNERSHIP taken from Streets; edited by FILENUM 18152, ,True,None,HMB 35,HMB 35-22630, 
21,0,21,4175,Ditch, , , ,48, , , ,Pre-SWQDC, , ,State of Hawaii,Pre-SWQDC,Pre-SWQDC,jnolan,TYPE=State DOT Concrete Ditch; OWNERSHIP taken from Streets; edited by FILENUM 18152,True, ,64,-157.761376878340229,21.276597613089450,29.1532764,,,,,,,,,,,,,,,,,,,,,
22,1,22,4326,Reinforced Concrete Pipe,18, , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,68,-157.757412640680798,21.284562873377979,132.8929291,10579,20712,Man Hole, , ,-157.757427046920640,21.284566297097001,4, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HWES 35,HWES 35-20712, 
23,1,23,4326,Reinforced Concrete Pipe,18, , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,68,-157.757496582501261,21.284645559744831,139.6484222,22618,20708,Catch Basin, , ,-157.757510988741103,21.284648983463853,4.3, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HWES 35,HWES 35-20708, 
24,1,24,4478,Reinforced Concrete Pipe,24, , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,73,-157.754281003465508,21.289105924598800,99.8310318,50235,20587,Man Hole, , ,-157.754295409705378,21.289109348317822,7.400000, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HWES 25,HWES 25-20587, 
25,1,25,4478,Reinforced Concrete Pipe,24, , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,73,-157.754086724722526,21.289136006021920,110.4179916,50234,20586,Man Hole, , ,-157.754101130962397,21.289139429740942,4.300000, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HWES 25,HWES 25-20586, 
26,1,26,4506,Reinforced Concrete Pipe,24, , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,75,-157.753857970468943,21.289143454207078,122.2356110,10570,20585,Man Hole, , ,-157.753872376708784,21.289146877926100, , ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HWES 25,HWES 25-20585, 
27,1,27,4506,Reinforced Concrete Pipe,24, , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,75,-157.753354688268217,21.289086190775151,146.1550751,2575,20590,Man Hole, , ,-157.753369094508088,21.289089614494173, , ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HWES 25,HWES 25-20590, 
28,1,28,4507,Reinforced Concrete Pipe,24, , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,76,-157.753354688268217,21.289086190775151,146.1550751,2575,20590,Man Hole, , ,-157.753369094508088,21.289089614494173, , ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HWES 25,HWES 25-20590, 
29,1,29,4507,Reinforced Concrete Pipe,24, , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,76,-157.753110210267948,21.289055096715401,157.5534210,29976,20591,Man Hole, , ,-157.753124616507819,21.289058520434423, , ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HWES 25,HWES 25-20591, 
30,1,30,4508,Reinforced Concrete Pipe,24, , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,77,-157.753110210267948,21.289055096715401,157.5534210,29976,20591,Man Hole, , ,-157.753124616507819,21.289058520434423, , ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HWES 25,HWES 25-20591, 
31,1,31,4508,Reinforced Concrete Pipe,24, , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,77,-157.752939148422939,21.289033982432386,165.4967346,47469,20592,Man Hole, , ,-157.752953554662781,21.289037406151408, , ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HWES 25,HWES 25-20592, 
32,1,32,4527,Reinforced Concrete Pipe,18, , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,84,-157.756837873169275,21.287123915936036,123.7048035,30946,20653,Man Hole, , ,-157.756852279409145,21.287127338755738,5.8, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HWES 27,HWES 27-20653, 
33,1,33,4527,Reinforced Concrete Pipe,18, , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,84,-157.757333964390909,21.286862124187735,160.8286591,53916,20658,Man Hole, , ,-157.757348370630780,21.286865547906757,5.100000, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HWES 27,HWES 27-20658, 
34,1,34,5075,Reinforced Concrete Pipe,24, , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,106,-157.757108138329897,21.290671847527790,236.7988281,2569,20534,Man Hole, , ,-157.757122545469059,21.290675271246812,6.900000, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HWES 20,HWES 20-20534, 
35,1,35,5075,Reinforced Concrete Pipe,24, , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,106,-157.756971757940249,21.290770817918940,224.9339294,14256,20527,Man Hole, , ,-157.756986164180091,21.290774240738642,5.800000, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HWES 20,HWES 20-20527, 
36,1,36,5076,Reinforced Concrete Pipe,24, , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,107,-157.756712265758438,21.290713274797838,196.0427246,41954,20530,Man Hole, , ,-157.756726672897599,21.290716697617540,4.500000, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HWES 20,HWES 20-20530, 
37,1,37,5076,Reinforced Concrete Pipe,24, , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,107,-157.756486550314008,21.290658511481183,170.9234924,50232,20535,Inlet/Outlet, , ,-157.756500956553879,21.290661934300886, , ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan,End of RCP; edited by FILENUM 18149, ,True,None,HWES 20,HWES 20-20535, 
38,1,38,5459,Reinforced Concrete Pipe,48, , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,115,-157.751445321444407,21.283263814373584,42.0405502,21638,22251,Man Hole, , ,-157.751459727684249,21.283267238092606,4.200000, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HWES 38,HWES 38-22251, 
39,0,39,5459,Reinforced Concrete Pipe,48, , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,115,-157.751552577289573,21.283235068443730,39.1824303,,,,,,,,,,,,,,,,,,,,,
40,1,40,5459,Reinforced Concrete Pipe,48, , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,115,-157.751661665053774,21.283208519557604,36.4567947,22555,22253,Man Hole, , ,-157.751676071293616,21.283211943276626,7.5, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HWES 38,HWES 38-22253, 
41,1,41,6458,Reinforced Concrete Pipe,36, , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan,Edited by FILENUM 15621,True, ,156,-157.750768256949470,21.279366681427234,-1.1849804,48347,22368,Man Hole, , ,-157.750782663189312,21.279370105146313,6.100000, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HWES 43,HWES 43-22368, 
42,1,42,6458,Reinforced Concrete Pipe,36, , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan,Edited by FILENUM 15621,True, ,156,-157.751075263012950,21.279037802052983,-0.5393267,25370,22378,Inlet/Outlet, , ,-157.751089669252792,21.279041225772005, , ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan,End of RCP; edited by FILENUM 15621, ,True,None,HWES 43,HWES 43-22378, 
43,1,43,6569,Reinforced Concrete Pipe,30, , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,162,-157.750039539892811,21.279987938492638,6.9285641,30890,22354,Man Hole, , ,-157.750053946132681,21.279991362211661,4.6, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HWES 43,HWES 43-22354, 
44,0,44,6569,Reinforced Concrete Pipe,30, , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,162,-157.749917364294902,21.279723220350377,3.9009719,,,,,,,,,,,,,,,,,,,,,
45,0,45,6569,Reinforced Concrete Pipe,30, , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,162,-157.749842737652187,21.279564838046895,1.8715532,,,,,,,,,,,,,,,,,,,,,
46,1,46,6569,Reinforced Concrete Pipe,30, , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,162,-157.749805778214068,21.279493079342160,0.9032624,55717,22365,Man Hole, , ,-157.749820185353229,21.279496503061239,4.800000, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HWES 43,HWES 43-22365, 
47,1,47,16579,Reinforced Concrete Pipe,30, , , , , , ,Pre-SWQDC, , ,State of Hawaii,Pre-SWQDC,Pre-SWQDC,jnolan,OWNERSHIP taken from Streets; edited by FILENUM 18152,False,Disabled from Geometric Network,237,-157.761061267563406,21.276636112166898,25.9386578,1956,22630,Inlet/Outlet, , ,-157.761075673803276,21.276639536785240, , ,"Constructed, existing ROW",State of Hawaii,Pre-SWQDC,Pre-SWQDC,jnolan,Connection between State DOT Concrete Ditches and State DOT RCPs; OWNERSHIP taken from Streets; edited by FILENUM 18152, ,True,None,HMB 35,HMB 35-22630, 
48,0,48,16579,Reinforced Concrete Pipe,30, , , , , , ,Pre-SWQDC, , ,State of Hawaii,Pre-SWQDC,Pre-SWQDC,jnolan,OWNERSHIP taken from Streets; edited by FILENUM 18152,False,Disabled from Geometric Network,237,-157.761068507105875,21.276606317627511,25.2292690,,,,,,,,,,,,,,,,,,,,,
49,0,49,16579,Reinforced Concrete Pipe,30, , , , , , ,Pre-SWQDC, , ,State of Hawaii,Pre-SWQDC,Pre-SWQDC,jnolan,OWNERSHIP taken from Streets; edited by FILENUM 18152,False,Disabled from Geometric Network,237,-157.761006746164384,21.276208905416695,13.8781071,,,,,,,,,,,,,,,,,,,,,
50,0,50,16579,Reinforced Concrete Pipe,30, , , , , , ,Pre-SWQDC, , ,State of Hawaii,Pre-SWQDC,Pre-SWQDC,jnolan,OWNERSHIP taken from Streets; edited by FILENUM 18152,False,Disabled from Geometric Network,237,-157.760991905551975,21.276180371726809,12.9986181,,,,,,,,,,,,,,,,,,,,,
51,0,51,16580,Ditch, , , ,84,48, , ,18152, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,Edited by Parcels,True, ,238,-157.760802306880919,21.278419439905292,82.6996689,,,,,,,,,,,,,,,,,,,,,
52,0,52,16580,Ditch, , , ,84,48, , ,18152, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,Edited by Parcels,True, ,238,-157.760979994930779,21.278116829727935,73.5689087,,,,,,,,,,,,,,,,,,,,,
53,0,53,16580,Ditch, , , ,84,48, , ,18152, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,Edited by Parcels,True, ,238,-157.761005881915878,21.278076529308407,72.3705750,,,,,,,,,,,,,,,,,,,,,
54,0,54,16580,Ditch, , , ,84,48, , ,18152, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,Edited by Parcels,True, ,238,-157.761020986928969,21.278050331157885,71.5357361,,,,,,,,,,,,,,,,,,,,,
55,0,55,16580,Ditch, , , ,84,48, , ,18152, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,Edited by Parcels,True, ,238,-157.761020513885569,21.278023083498567,70.2010651,,,,,,,,,,,,,,,,,,,,,
56,0,56,16584,Ditch, , , ,84,48, , ,18152, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,Edited by Parcels,True, ,242,-157.760547889573417,21.280062777375349,156.7765503,,,,,,,,,,,,,,,,,,,,,
57,0,57,16584,Ditch, , , ,84,48, , ,18152, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,Edited by Parcels,True, ,242,-157.760527283407384,21.279957592668836,149.9426727,,,,,,,,,,,,,,,,,,,,,
58,0,58,16584,Ditch, , , ,84,48, , ,18152, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,Edited by Parcels,True, ,242,-157.760360856668171,21.279082032509848,98.7318420,,,,,,,,,,,,,,,,,,,,,
59,0,59,16584,Ditch, , , ,84,48, , ,18152, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,Edited by Parcels,True, ,242,-157.760356631653195,21.279033622004079,96.4224472,,,,,,,,,,,,,,,,,,,,,
60,0,60,16584,Ditch, , , ,84,48, , ,18152, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,Edited by Parcels,True, ,242,-157.760363155335313,21.278991276526256,94.7524033,,,,,,,,,,,,,,,,,,,,,
61,0,61,16584,Ditch, , , ,84,48, , ,18152, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,Edited by Parcels,True, ,242,-157.760376137948384,21.278946923761566,93.2077179,,,,,,,,,,,,,,,,,,,,,
62,0,62,16584,Ditch, , , ,84,48, , ,18152, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,Edited by Parcels,True, ,242,-157.760393404931676,21.278914678569606,92.3438034,,,,,,,,,,,,,,,,,,,,,
63,0,63,16584,Ditch, , , ,84,48, , ,18152, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,Edited by Parcels,True, ,242,-157.760414978768239,21.278880422493557,91.5270004,,,,,,,,,,,,,,,,,,,,,
64,0,64,16584,Ditch, , , ,84,48, , ,18152, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,Edited by Parcels,True, ,242,-157.760440846867567,21.278852223351464,91.1180344,,,,,,,,,,,,,,,,,,,,,
65,0,65,16584,Ditch, , , ,84,48, , ,18152, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,Edited by Parcels,True, ,242,-157.760468863447272,21.278826043187394,90.8633652,,,,,,,,,,,,,,,,,,,,,
66,0,66,16584,Ditch, , , ,84,48, , ,18152, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,Edited by Parcels,True, ,242,-157.760503335360596,21.278799872915840,90.8135681,,,,,,,,,,,,,,,,,,,,,
67,0,67,16584,Ditch, , , ,84,48, , ,18152, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,Edited by Parcels,True, ,242,-157.760539942264501,21.278783790339730,91.2848740,,,,,,,,,,,,,,,,,,,,,
68,0,68,16584,Ditch, , , ,84,48, , ,18152, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,Edited by Parcels,True, ,242,-157.760580873108779,21.278755611882048,91.3351593,,,,,,,,,,,,,,,,,,,,,
69,0,69,16584,Ditch, , , ,84,48, , ,18152, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,Edited by Parcels,True, ,242,-157.760613199239714,21.278725405453145,90.9985352,,,,,,,,,,,,,,,,,,,,,
70,0,70,16584,Ditch, , , ,84,48, , ,18152, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,Edited by Parcels,True, ,242,-157.760643386782846,21.278687127608919,90.2075806,,,,,,,,,,,,,,,,,,,,,
71,0,71,16584,Ditch, , , ,84,48, , ,18152, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,Edited by Parcels,True, ,242,-157.760744793437425,21.278519870795435,85.6397324,,,,,,,,,,,,,,,,,,,,,
