"","station","station_name","elevation","lat","lon","date","time","qgag","qgag_flag","qgag_qual","qgag_units","qpcp","qpcp_flag","qpcp_qual","qpcp_units","datetime10"
"25","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",61,21.2918,-157.7534,2010-12-19,"13:45",0.66," ",NA,"HT",0.1," "," ","HT",2010-12-19 13:45:00
"26","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",61,21.2918,-157.7534,2010-12-19,"14:15",0.67," ",NA,"HT",0.1," "," ","HT",2010-12-19 14:15:00
"27","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",61,21.2918,-157.7534,2010-12-19,"14:30",0.68," ",NA,"HT",0.1," "," ","HT",2010-12-19 14:30:00
"28","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",61,21.2918,-157.7534,2010-12-19,"14:45",0.7," ",NA,"HT",0.2," "," ","HT",2010-12-19 14:45:00
"29","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",61,21.2918,-157.7534,2010-12-19,"15:00",0.71," ",NA,"HT",0.1," "," ","HT",2010-12-19 15:00:00
"30","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",61,21.2918,-157.7534,2010-12-19,"15:15",0.73," ",NA,"HT",0.2," "," ","HT",2010-12-19 15:15:00
"31","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",61,21.2918,-157.7534,2010-12-19,"15:30",0.74," ",NA,"HT",0.1," "," ","HT",2010-12-19 15:30:00
"32","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",61,21.2918,-157.7534,2010-12-19,"15:45",0.75," ",NA,"HT",0.1," "," ","HT",2010-12-19 15:45:00
"33","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",61,21.2918,-157.7534,2010-12-19,"16:15",0.76," ",NA,"HT",0.1," "," ","HT",2010-12-19 16:15:00
"34","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",61,21.2918,-157.7534,2010-12-19,"21:30",0.77," ",NA,"HT",0.1," "," ","HT",2010-12-19 21:30:00
