OBJECTID_1,Join_Count,TARGET_FID,OBJECTID,TYPE,CALC_LENGT,DIAMETER,DRAINAGE_A,LENGTH,WIDTH,HEIGHT,SLOPE,ROUGHNESS,FILENUM,INSTALL_DA,LIFE_CYCLE,OWNER,DATA_SOURC,CREATED_BY,LAST_EDITE,LAST_EDI_1,TYPE_USE,ORIG_FID,POINT_X,POINT_Y,ELEVATION,SUBCATCHMENT,OBJECTID_12,NODE_ID,TYPE_1,DRAINAGE_A_1,FLOW_RATE_1,POINT_X_1,POINT_Y_1,CATCHMENT_,HIST_STRU_,FILENUM_1,INSTALL_DA_1,LIFE_CYCLE_1,OWNER_1,DATA_SOURC_1,CREATED_BY_1,LAST_EDITE_1,LAST_EDI_12,DA_SRC_STR,ANCILLARYR,OUTFALL,SWID,TYPE_USE_1
11,1,11,3087,Reinforced Concrete Pipe,136.970892959999986,24, ,136.971000, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,11,-157.752284831379825,21.285329959110356,70.3286743,28,41073,20692,Man Hole, , ,-157.752299237619695,21.285333381930059,3.500000, ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,None,HWES 36,HWES 36-20692, 
12,1,12,3104,Reinforced Concrete Pipe,118.634333999999996,42, ,118.635000, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,15,-157.753250497312564,21.282436668317644,15.4320583,23,2205,22270,Catch Basin, , ,-157.753264904451754,21.282440092036666,9.300000,HWES 39-1,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,None,HWES 39,HWES 39-22270, 
13,0,13,3104,Reinforced Concrete Pipe,118.634333999999996,42, ,118.635000, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,15,-157.753053575462104,21.282515974132934,15.5931454,23,,,,, ,,,,,,,,,,,,,,,,,
14,1,14,3104,Reinforced Concrete Pipe,118.634333999999996,42, ,118.635000, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,15,-157.752931229892312,21.282567474709253,15.6862869,23,55705,22268,Inlet/Outlet, , ,-157.752945636132182,21.282570898428276, ,HWES 39,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan,End of RCP; edited by FILENUM 18154, ,None,HWES 39,HWES 39-22268, 
15,1,15,3105,Reinforced Concrete Pipe,133.244616390000004,18, ,133.246000, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,16,-157.752293138417571,21.282562464586135,19.8049946,21,25353,22269,Catch Basin, , ,-157.752307544657441,21.282565888305157, ,HWES 40-1,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,None,HWES 40,HWES 40-22269, 
16,0,16,3105,Reinforced Concrete Pipe,133.244616390000004,18, ,133.246000, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,16,-157.752455524502835,21.282498399581527,17.4875088,21,,,,, ,,,,,,,,,,,,,,,,,
17,1,17,3105,Reinforced Concrete Pipe,133.244616390000004,18, ,133.246000, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,16,-157.752652083926506,21.282416340941438,14.8965168,21,48342,22271,Inlet/Outlet, , ,-157.752666491065668,21.282419764660460, ,HWES 40,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan,End of RCP; edited by FILENUM 18154, ,None,HWES 40,HWES 40-22271, 
18,1,18,3200,Reinforced Concrete Pipe,16.687907389999999,18, ,16.688000, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,25,-157.756592211661200,21.284025038324899,72.3444366,62,9558,22226,Man Hole, , ,-157.756606617901070,21.284028462043921,4.600000, ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,None,HWES 35,HWES 35-22226, 
19,1,19,3200,Reinforced Concrete Pipe,16.687907389999999,18, ,16.688000, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,25,-157.756548921895188,21.284003490568693,69.3229370,62,55703,22227,Catch Basin, , ,-157.756563328135059,21.284006914287716,4.500000,HWES 35-6-8,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,None,HWES 35,HWES 35-22227, 
20,1,20,3201,Reinforced Concrete Pipe,127.766432240000000,24, ,131.150000, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan,Edited by FILENUM 18154, ,26,-157.753029222720414,21.284127041230022,28.0249901,28,2196,22221,Catch Basin, , ,-157.753043628960285,21.284130464949044,9.500000,HWES 36-1,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,None,HWES 36,HWES 36-22221, 
21,1,21,3201,Reinforced Concrete Pipe,127.766432240000000,24, ,131.150000, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan,Edited by FILENUM 18154, ,26,-157.753373855518987,21.283987833371839,26.0512104,28,30879,22228,Inlet/Outlet, , ,-157.753388261758857,21.283991257090918, ,HWES 36,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan,End of RCP; edited by FILENUM 18154, ,None,HWES 36,HWES 36-22228, 
22,1,22,3202,Reinforced Concrete Pipe,298.103502310000010,30, ,298.106000, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,27,-157.755321557743656,21.283772605821127,37.1531143,62,30880,22235,Man Hole, , ,-157.755335964882846,21.283776029540206,5.9, ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,None,HWES 35,HWES 35-22235, 
23,0,23,3202,Reinforced Concrete Pipe,298.103502310000010,30, ,298.106000, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,27,-157.755154759584457,21.283840559494251,34.5209274,62,,,,, ,,,,,,,,,,,,,,,,,
24,0,24,3202,Reinforced Concrete Pipe,298.103502310000010,30, ,298.106000, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,27,-157.754884721952322,21.283951009731368,30.2781162,62,,,,, ,,,,,,,,,,,,,,,,,
25,0,25,3202,Reinforced Concrete Pipe,298.103502310000010,30, ,298.106000, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,27,-157.754591169746647,21.284071618710300,25.6918392,30,,,,, ,,,,,,,,,,,,,,,,,
26,1,26,3202,Reinforced Concrete Pipe,298.103502310000010,30, ,298.106000, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,27,-157.754519159231791,21.284101063413402,24.5702782,30,8634,22222,Man Hole, , ,-157.754533565471633,21.284104487132424,4.800000, ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,None,HWES 35,HWES 35-22222, 
27,1,27,3203,Reinforced Concrete Pipe,87.996233380000007,30, ,87.996000, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,28,-157.755542741504286,21.283897927247608,41.2105293,62,52989,22231,Catch Basin, , ,-157.755557147744156,21.283901350966630,5.600000,HWES 35-3,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,None,HWES 35,HWES 35-22231, 
28,0,28,3203,Reinforced Concrete Pipe,87.996233380000007,30, ,87.996000, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,28,-157.755392351475820,21.283812023106407,38.4521141,62,,,,, ,,,,,,,,,,,,,,,,,
29,1,29,3203,Reinforced Concrete Pipe,87.996233380000007,30, ,87.996000, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,28,-157.755321557743656,21.283772605821127,37.1531143,62,30880,22235,Man Hole, , ,-157.755335964882846,21.283776029540206,5.9, ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,None,HWES 35,HWES 35-22235, 
30,1,30,3204,Reinforced Concrete Pipe,128.996357179999990,24, ,128.997000, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,29,-157.749385729168040,21.284077800650039,173.8473206,91,18889,22223,Man Hole, , ,-157.749400135407882,21.284081224369061,3.700000, ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,None,HWES 38,HWES 38-22223, 
31,0,31,3204,Reinforced Concrete Pipe,128.996357179999990,24, ,128.997000, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,29,-157.749431259145268,21.283858047710794,157.7351074,91,,,,, ,,,,,,,,,,,,,,,,,
32,1,32,3204,Reinforced Concrete Pipe,128.996357179999990,24, ,128.997000, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,29,-157.749456075937132,21.283728871790061,148.4973450,91,31846,22237,Man Hole, , ,-157.749470483076294,21.283732295509083,6.5, ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,None,HWES 38,HWES 38-22237, 
33,1,33,3205,Reinforced Concrete Pipe,71.075455910000002,18, ,71.076000, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,30,-157.756100269911485,21.282221978561495,46.4801292,23,45579,22278,Man Hole, , ,-157.756114676151356,21.282225403179837, , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,None,HWES 39,HWES 39-22278, 
34,1,34,3205,Reinforced Concrete Pipe,71.075455910000002,18, ,71.076000, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,30,-157.755897164322647,21.282267212661793,42.6727295,23,20751,22277,Man Hole, , ,-157.755911570562489,21.282270636380815,4.100000, ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,None,HWES 39,HWES 39-22277, 
35,1,35,3206,Reinforced Concrete Pipe,25.725176350000002, , ,25.725000, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan,originally 99 inch, ,31,-157.756121084720263,21.282290057240402,47.0528641,23,18890,22275,Catch Basin, , ,-157.756135490960105,21.282293480959424,3.400000,HWES 39-13-1,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,None,HWES 39,HWES 39-22275, 
36,1,36,3206,Reinforced Concrete Pipe,25.725176350000002, , ,25.725000, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan,originally 99 inch, ,31,-157.756100269911485,21.282221978561495,46.4801292,23,45579,22278,Man Hole, , ,-157.756114676151356,21.282225403179837, , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,None,HWES 39,HWES 39-22278, 
37,1,37,3207,Reinforced Concrete Pipe,230.025380240000004,18, ,230.027000, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,32,-157.756757336182091,21.282074711878522,74.1049118,23,49223,22283,Man Hole, , ,-157.756771743321281,21.282078135597544,5.900000, ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,None,HWES 39,HWES 39-22283, 
38,0,38,3207,Reinforced Concrete Pipe,230.025380240000004,18, ,230.027000, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,32,-157.756581406306822,21.282115254215682,64.5270233,23,,,,, ,,,,,,,,,,,,,,,,,
39,0,39,3207,Reinforced Concrete Pipe,230.025380240000004,18, ,230.027000, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,32,-157.756249021375197,21.282186709848816,49.2928886,23,,,,, ,,,,,,,,,,,,,,,,,
40,1,40,3207,Reinforced Concrete Pipe,230.025380240000004,18, ,230.027000, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,32,-157.756100269911485,21.282221978561495,46.4801292,23,45579,22278,Man Hole, , ,-157.756114676151356,21.282225403179837, , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,None,HWES 39,HWES 39-22278, 
41,1,41,3208,Reinforced Concrete Pipe,228.414077789999993,18, ,228.414000, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,33,-157.756934770623133,21.282680926883302,87.6002426,66,52075,22264,Man Hole, , ,-157.756949176863003,21.282684350602324,4.700000, ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,None,HWES 39,HWES 39-22264, 
42,0,42,3208,Reinforced Concrete Pipe,228.414077789999993,18, ,228.414000, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,33,-157.756915420810003,21.282614463386835,86.0543747,66,,,,, ,,,,,,,,,,,,,,,,,
43,0,43,3208,Reinforced Concrete Pipe,228.414077789999993,18, ,228.414000, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,33,-157.756862443546908,21.282457515502017,82.0524063,,,,,, ,,,,,,,,,,,,,,,,,
44,0,44,3208,Reinforced Concrete Pipe,228.414077789999993,18, ,228.414000, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,33,-157.756835442301792,21.282355339927051,79.9371033,,,,,, ,,,,,,,,,,,,,,,,,
45,0,45,3208,Reinforced Concrete Pipe,228.414077789999993,18, ,228.414000, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,33,-157.756796029513112,21.282209809834910,76.9362640,23,,,,, ,,,,,,,,,,,,,,,,,
46,1,46,3208,Reinforced Concrete Pipe,228.414077789999993,18, ,228.414000, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,33,-157.756757336182091,21.282074711878522,74.1049118,23,49223,22283,Man Hole, , ,-157.756771743321281,21.282078135597544,5.900000, ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,None,HWES 39,HWES 39-22283, 
47,1,47,3209,Reinforced Concrete Pipe,146.963560430000001,18, ,92.117000, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,34,-157.754646417797915,21.281974326853742,16.7271137,23,44656,22280,Man Hole, , ,-157.754660824937105,21.281977750572764,5.600000, ,WR22875, ,"Constructed, existing ROW",City and County of Honolulu,Other,Pre-SWQDC,jnolan,Edited by DFM Roads Engineers Report, ,None,HWES 39,HWES 39-22280, 
48,1,48,3209,Reinforced Concrete Pipe,146.963560430000001,18, ,92.117000, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,34,-157.754241561898539,21.282114661562446,14.5716391,23,43755,22285,Man Hole, , ,-157.754255968138381,21.282118085281468,5.100000, ,WR22875, ,"Constructed, existing ROW",City and County of Honolulu,Other,Pre-SWQDC,jnolan,Edited by DFM Roads Engineers Report, ,None,HWES 39,HWES 39-22285, 
49,1,49,3250,Reinforced Concrete Pipe,58.514106740000003,24, ,58.515000, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,35,-157.757869712117497,21.289283739453083,272.7057495,25,29975,20579,Catch Basin, , ,-157.757884118357339,21.289287163172105, ,HWES 21-7,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,None,HWES 21,HWES 21-20579, 
50,1,50,3250,Reinforced Concrete Pipe,58.514106740000003,24, ,58.515000, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,35,-157.757826131870473,21.289439557789422,273.4129639,25,38313,20573,Man Hole, , ,-157.757840538110315,21.289442981508444, , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,None,HWES 21,HWES 21-20573, 
51,1,51,3251,Reinforced Concrete Pipe,16.490544470000000, , ,16.491000, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan,originally 99 inch, ,36,-157.753132300315372,21.289239056637200,162.0490570,89,29077,20581,Catch Basin, , ,-157.753146706555242,21.289242479456902, ,HWES 25-24-1,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,None,HWES 25,HWES 25-20581, 
52,1,52,3251,Reinforced Concrete Pipe,16.490544470000000, , ,16.491000, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan,originally 99 inch, ,36,-157.753085321530335,21.289227996774684,164.1237488,89,41959,20582,Man Hole, , ,-157.753099727770206,21.289231419594387, , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,None,HWES 25,HWES 25-20582, 
53,0,53,3252,Ditch,378.853707520000000, , ,175.353000, , , , ,Pre-SWQDC, , ,Private,Pre-SWQDC,Pre-SWQDC,jnolan,TYPE=Private HT Ditch; OWNERSHIP taken from Parcels; edited by FILENUM 18156 and Easements, ,37,-157.745788196368153,21.280487912087551,71.9897995,72,,,,, ,,,,,,,,,,,,,,,,,
54,0,54,3252,Ditch,378.853707520000000, , ,175.353000, , , , ,Pre-SWQDC, , ,Private,Pre-SWQDC,Pre-SWQDC,jnolan,TYPE=Private HT Ditch; OWNERSHIP taken from Parcels; edited by FILENUM 18156 and Easements, ,37,-157.745650466995414,21.280493754982842,73.5208435,72,,,,, ,,,,,,,,,,,,,,,,,
55,0,55,3252,Ditch,378.853707520000000, , ,175.353000, , , , ,Pre-SWQDC, , ,Private,Pre-SWQDC,Pre-SWQDC,jnolan,TYPE=Private HT Ditch; OWNERSHIP taken from Parcels; edited by FILENUM 18156 and Easements, ,37,-157.745510944374558,21.280438736258702,71.6237030,72,,,,, ,,,,,,,,,,,,,,,,,
56,0,56,3252,Ditch,378.853707520000000, , ,175.353000, , , , ,Pre-SWQDC, , ,Private,Pre-SWQDC,Pre-SWQDC,jnolan,TYPE=Private HT Ditch; OWNERSHIP taken from Parcels; edited by FILENUM 18156 and Easements, ,37,-157.745413775325432,21.280368755513734,68.4346542,72,,,,, ,,,,,,,,,,,,,,,,,
57,0,57,3252,Ditch,378.853707520000000, , ,175.353000, , , , ,Pre-SWQDC, , ,Private,Pre-SWQDC,Pre-SWQDC,jnolan,TYPE=Private HT Ditch; OWNERSHIP taken from Parcels; edited by FILENUM 18156 and Easements, ,37,-157.745338830322737,21.280271428183937,63.2590523,72,,,,, ,,,,,,,,,,,,,,,,,
58,0,58,3252,Ditch,378.853707520000000, , ,175.353000, , , , ,Pre-SWQDC, , ,Private,Pre-SWQDC,Pre-SWQDC,jnolan,TYPE=Private HT Ditch; OWNERSHIP taken from Parcels; edited by FILENUM 18156 and Easements, ,37,-157.745113027644095,21.280188395578023,56.3399315,72,,,,, ,,,,,,,,,,,,,,,,,
